f,n,number,center,syahen,sinphi,theta(RADIAN),theta(DEGREE)
250,1.492,170,84.75,263.974549,0.321053679,0.958427384,54.91384406
250,1.492,171,85.25,264.1355003,0.322751012,0.955558197,54.74945174
250,1.492,172,85.75,264.2972995,0.324445237,0.952699004,54.58563209
250,1.492,173,86.25,264.459945,0.326136346,0.949849797,54.42238456
250,1.492,174,86.75,264.6234353,0.327824329,0.947010566,54.25970859
250,1.492,175,87.25,264.7877688,0.329509178,0.9441813,54.09760359
250,1.492,176,87.75,264.9529439,0.331190885,0.941361989,53.93606894
250,1.492,177,88.25,265.1189591,0.332869442,0.93855262,53.775104
250,1.492,178,88.75,265.2858129,0.334544841,0.935753184,53.61470811
250,1.492,179,89.25,265.4535035,0.336217073,0.932963667,53.45488057
250,1.492,180,89.75,265.6220294,0.337886132,0.930184057,53.29562065
250,1.492,181,90.25,265.7913891,0.339552009,0.927414341,53.13692762
250,1.492,182,90.75,265.9615809,0.341214696,0.924654506,52.9788007
250,1.492,183,91.25,266.1326032,0.342874187,0.921904537,52.8212391
250,1.492,184,91.75,266.3044545,0.344530474,0.919164421,52.66424202
250,1.492,185,92.25,266.4771332,0.34618355,0.916434143,52.5078086
250,1.492,186,92.75,266.6506375,0.347833408,0.913713688,52.35193799
250,1.492,187,93.25,266.824966,0.349480041,0.91100304,52.1966293
250,1.492,188,93.75,267.000117,0.351123442,0.908302183,52.04188163
250,1.492,189,94.25,267.1760889,0.352763604,0.905611103,51.88769406
250,1.492,190,94.75,267.3528801,0.354400521,0.902929781,51.73406564
250,1.492,191,95.25,267.5304889,0.356034187,0.900258201,51.58099539
250,1.492,192,95.75,267.7089137,0.357664594,0.897596346,51.42848233
250,1.492,193,96.25,267.888153,0.359291738,0.894944198,51.27652546
250,1.492,194,96.75,268.0682049,0.360915611,0.89230174,51.12512375
250,1.492,195,97.25,268.249068,0.362536208,0.889668953,50.97427615
250,1.492,196,97.75,268.4307406,0.364153523,0.887045818,50.82398159
250,1.492,197,98.25,268.613221,0.365767551,0.884432317,50.67423901
250,1.492,198,98.75,268.7965076,0.367378285,0.88182843,50.52504728
250,1.492,199,99.25,268.9805987,0.36898572,0.879234138,50.37640531
250,1.492,200,99.75,269.1654928,0.370589852,0.876649421,50.22831195
250,1.492,201,100.25,269.351188,0.372190673,0.87407426,50.08076606
250,1.492,202,100.75,269.5376829,0.37378818,0.871508633,49.93376645
250,1.492,203,101.25,269.7249757,0.375382368,0.86895252,49.78731197
250,1.492,204,101.75,269.9130647,0.376973231,0.8664059,49.64140139
250,1.492,205,102.25,270.1019483,0.378560764,0.863868752,49.49603352
250,1.492,206,102.75,270.2916249,0.380144964,0.861341054,49.35120711
250,1.492,207,103.25,270.4820928,0.381725825,0.858822785,49.20692093
250,1.492,208,103.75,270.6733502,0.383303343,0.856313923,49.06317373
250,1.492,209,104.25,270.8653955,0.384877514,0.853814446,48.91996422
250,1.492,210,104.75,271.0582271,0.386448333,0.85132433,48.77729112
250,1.492,211,105.25,271.2518433,0.388015796,0.848843554,48.63515313
250,1.492,212,105.75,271.4462424,0.3895799,0.846372095,48.49354895
250,1.492,213,106.25,271.6414227,0.39114064,0.843909929,48.35247725
250,1.492,214,106.75,271.8373825,0.392698013,0.841457034,48.21193668
250,1.492,215,107.25,272.0341201,0.394252015,0.839013385,48.07192592
250,1.492,216,107.75,272.2316339,0.395802642,0.836578959,47.93244359
250,1.492,217,108.25,272.4299222,0.397349891,0.834153732,47.79348832
250,1.492,218,108.75,272.6289832,0.398893759,0.83173768,47.65505873
250,1.492,219,109.25,272.8288154,0.400434242,0.829330779,47.51715344
250,1.492,220,109.75,273.0294169,0.401971338,0.826933003,47.37977103
250,1.492,221,110.25,273.2307861,0.403505043,0.824544329,47.24291009
250,1.492,222,110.75,273.4329214,0.405035354,0.822164732,47.10656921
250,1.492,223,111.25,273.6358209,0.406562268,0.819794186,46.97074694
250,1.492,224,111.75,273.8394831,0.408085783,0.817432667,46.83544184
250,1.492,225,112.25,274.0439062,0.409605897,0.815080148,46.70065247
250,1.492,226,112.75,274.2490884,0.411122606,0.812736606,46.56637737
250,1.492,227,113.25,274.4550282,0.412635909,0.810402013,46.43261506
250,1.492,228,113.75,274.6617238,0.414145802,0.808076345,46.29936406
250,1.492,229,114.25,274.8691734,0.415652285,0.805759574,46.16662291
250,1.492,230,114.75,275.0773755,0.417155354,0.803451676,46.0343901
250,1.492,231,115.25,275.2863282,0.418655008,0.801152625,45.90266413
250,1.492,232,115.75,275.4960299,0.420151245,0.798862392,45.7714435
250,1.492,233,116.25,275.7064789,0.421644063,0.796580954,45.64072669
250,1.492,234,116.75,275.9176734,0.423133461,0.794308282,45.51051219
250,1.492,235,117.25,276.1296118,0.424619436,0.79204435,45.38079846
250,1.492,236,117.75,276.3422923,0.426101988,0.789789132,45.25158397
250,1.492,237,118.25,276.5557132,0.427581114,0.7875426,45.12286719
250,1.492,238,118.75,276.7698728,0.429056815,0.785304728,44.99464657
250,1.492,239,119.25,276.9847694,0.430529087,0.783075489,44.86692056
250,1.492,240,119.75,277.2004013,0.431997932,0.780854855,44.7396876
